	uner-name	uner-class	name	id
84891	Podlož	Name-Location-GPE-City	Podlož	entity_26119
84892	Pudob	Name-Location-GPE-City	Pudob	entity_4751765
84893	Šmarata	Name-Location-GPE-City	Šmarata	entity_9902210
84894	Viševek	Name-Location-GPE-City	Viševek	entity_6439480
84895	Vrhnika pri Ložu	Name-Location-GPE-GPE_Other	Vrhnika_pri_Ložu	entity_1399399
84913	George Chuvalo	Name-Person-Name_Person	George_Chuvalo	entity_12316249
84919	Dolnja Košana	Name-Location-GPE-GPE_Other	Dolnja_Košana	entity_4921339
84920	Drskovče	Name-Location-GPE-City	Drskovče	entity_9537111
84921	Čepno	Name-Location-GPE-City	Čepno	entity_1534002
84922	Gornja Košana	Name-Location-GPE-GPE_Other	Gornja_Košana	entity_4725996
84923	Juršče	Name-Location-GPE-City	Juršče	entity_10906621
84924	Neverke	Name-Location-GPE-GPE_Other	Neverke	entity_9143132
84925	Nova Sušica	Name-Location-GPE-City	Nova_Sušica	entity_2673377
84926	Palčje	Name-Location-GPE-City	Palčje	entity_732224
84927	Parje	Name-Location-GPE-GPE_Other	Parje	entity_716638
84928	Suhorje	Name-Location-GPE-City	Suhorje	entity_11090338
84929	Šilentabor	Name-Location-GPE-GPE_Other	Šilentabor	entity_4792226
84930	Velika Pristava	Name-Location-GPE-GPE_Other	Velika_Pristava	entity_4529457
84944	Stade Said Mohamed Cheikh	Name-Facility-GOE-Sports_Facility	Stade_Said_Mohamed_Cheikh	entity_1713646
84949	Junik	Name-Location-GPE-GPE_Other	Junik	entity_3870674
84955	Dražen Žerić	Name-Person-Name_Person	Dražen_Žerić	entity_4464156
84959	Emma Orczy	Name-Person-Name_Person	Emma_Orczy	entity_2842768
84960	American Express	Name-Organization-Corporation-Company	American_Express	entity_3910042
84962	Steve Jablonsky	Name-Person-Name_Person	Steve_Jablonsky	entity_3413617
84995	John Galsworthy	Name-Person-Name_Person	John_Galsworthy	entity_4275785
85003	Suva Reka	Name-Location-GPE-City	Suva_Reka	entity_3318112
85014	BDS	Name-Organization-Organization_Other	BDS	entity_13081772
85021	Freida Pinto	Name-Person-Name_Person	Freida_Pinto	entity_1700265
85024	Pileni	Name-Location-Geological_Region_Island	Pileni	entity_12852919
85051	Dekmanca	Name-Location-GPE-GPE_Other	Dekmanca	entity_6183090
85052	Črešnjevec ob Bistrici	Name-Location-GPE-GPE_Other	Črešnjevec_ob_Bistrici	entity_11438229
85053	Hrastje ob Bistrici	Name-Location-GPE-GPE_Other	Hrastje_ob_Bistrici	entity_3617946
85054	Križan Vrh	Name-Location-GPE-GPE_Other	Križan_Vrh	entity_2928221
85055	Kunšperk	Name-Location-GPE-GPE_Other	Kunšperk	entity_11689977
85056	Polje pri Bistrici	Name-Location-GPE-GPE_Other	Polje_pri_Bistrici	entity_6613473
85058	Trebče	Name-Location-GPE-GPE_Other	Trebče	entity_10832688
85060	Braslovče	Name-Location-GPE-GPE_Other	Braslovče	entity_1978180
85061	Gomilsko	Name-Location-GPE-City	Gomilsko	entity_7605870
85062	Kamenče	Name-Location-GPE-GPE_Other	Kamenče	entity_3965547
85063	Letuš	Name-Location-GPE-City	Letuš	entity_167883
85064	Male Braslovče	Name-Location-GPE-GPE_Other	Male_Braslovče	entity_6987943
85065	Parižlje	Name-Location-GPE-GPE_Other	Parižlje	entity_4688910
85066	Podgorje pri Letušu	Name-Location-GPE-GPE_Other	Podgorje_pri_Letušu	entity_3929377
85067	Rakovlje	Name-Location-GPE-GPE_Other	Rakovlje	entity_8736276
85068	Spodnje Gorče	Name-Location-GPE-City	Spodnje_Gorče	entity_6810018
85069	Šmatevž	Name-Location-GPE-City	Šmatevž	entity_13228063
85070	Topovlje	Name-Location-GPE-GPE_Other	Topovlje	entity_8297227
85071	Zgornje Gorče	Name-Location-GPE-GPE_Other	Zgornje_Gorče	entity_12432379
85072	Žalec	Name-Location-GPE-GPE_Other	Žalec	entity_2826882
85073	Savinja	Name-Location-Geological_Region-River	Savinja	entity_7540735
85074	Gotovlje	Name-Location-GPE-GPE_Other	Gotovlje	entity_7169124
85075	Hramše	Name-Location-GPE-City	Hramše	entity_1810164
85076	Kasaze	Name-Location-GPE-City	Kasaze	entity_3358481
85077	Levec	Name-Location-GPE-City	Levec	entity_2077502
